mv_id|movie_nm|review_cnt
mv20190327009|장난스런 키스|2840
mv20190327010|콜레트|510
mv20190328001|루스 베이더 긴즈버그: 나는 반대한다|180
mv20190328002|심장소리|10
mv20190328003|출동! 도토리 구조대|30
mv20190403001|고릴라와 슈퍼레이스|30
mv20190403002|로망|600
mv20190403003|생일|6320
mv20190403004|샤잠!|4840
mv20190403005|아픈 만큼 사랑한다|160
mv20190404001|나의 작은 시인에게|210
mv20190404002|막다른 골목의 추억|130
mv20190404003|스마트폰을 떨어뜨렸을 뿐인데|0
mv20190404004|예수보다 낯선|40
mv20190404005|오늘도 평화로운|130
mv20190404006|우리들의 완벽한 세계|30
mv20190404007|파도치는 땅|20
mv20190404008|프로디지|200
mv20190404009|한강에게|80
mv20190410001|공포의 묘지|780
mv20190410002|키코리키: 시간여행|40
mv20190410003|파이브 피트|860
mv20190410004|헬보이|2630
mv20190411001|12번째 솔저|180
mv20190411002|미성년|3550
mv20190411003|바이스|600
mv20190411004|쎈놈|220
mv20190411005|아이 엠 마더|590
mv20190411006|원펀치|0
mv20190411007|퍼스트 리폼드|150
mv20190411008|필그리미지|30
mv20190416001|벌레스크|0
mv20190416002|체크 메이트 캅|10
mv20190417001|다시, 봄|400
mv20190417002|똑딱똑딱 마법의 시계나라|20
mv20190417003|미이라: 악령의 부활|0
mv20190417004|왓칭|1170
mv20190417005|요로나의 저주|1460
mv20190418001|노무현과 바보들|1650
mv20190418002|던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-|120
mv20190418003|러브리스|110
mv20190418004|뷰티플 마인드|100
mv20190418005|스탈린이 죽었다!|100
mv20190418006|유랑지구|1020
mv20190418007|크게 될 놈|2230
mv20190424001|아메리카 뮤직&와일드|20
mv20190424002|어벤져스: 엔드게임|68680
mv20190425001|더 캡틴|160
mv20190425002|도우터 오브 마인|20
mv20190425003|베카신!|50
mv20190425004|뽀로로 극장판 보물섬 대모험|2460
mv20190425005|스카이 라인: 더 비욘드|0
mv20190425006|스피닝 맨|30
mv20190425007|안도 타다오|340
mv20190425008|프로스펙트|0
mv20190425009|하트스톤|80
mv20190426001|암드|20
mv20190501001|나의 특별한 형제|4750
mv20190501002|대지진: 엔드 오브 더 월드|0
mv20190501003|어글리 돌|250
mv20190501004|에일리언: 지구침공의 날|0
mv20190501005|파업전야|120
mv20190501006|프렌즈: 둥지탈출|40
mv20190502001|굿바이 마이 러브NK: 붉은 청춘|30
mv20190502002|미스 스티븐스|210
mv20190507001|세계는 오늘부터 너의 것|0
mv20190507002|전원사형|0
mv20190508001|메기의 추억|30
mv20190508002|호텔 뭄바이|1490
mv20190509001|걸캅스|44260
mv20190509002|고양이 여행 리포트|200
mv20190509003|라플라스의 마녀|140
mv20190509004|매트리악|40
mv20190509005|명탐정 피카츄|2150
mv20190509006|벤 이즈 백|110
mv20190509007|에이프릴의 딸|30
mv20190509008|우이 러브|0
mv20190509009|해안가로의 여행|0
mv20190515001|물의 기억|90
mv20190515002|배심원들|0
mv20190515003|악인전|11530
mv20190516001|각오는 됐나, 거기 여자|0
mv20190516002|교회오빠|1630
mv20190516003|나의 히어로 아카데미아 더 무비: 두 명의 히어로|210
mv20190516004|논-픽션|60
mv20190516005|로지|60
mv20190516006|몬스터 랜드|20
mv20190516007|서스페리아|690
mv20190516008|위대한 전진|10
mv20190516009|자칼|0
mv20190522001|뷰티풀 보이스|100
mv20190522002|어린 의뢰인|1900
mv20190523001|김군|420
mv20190523002|너의 목소리|40
mv20190523003|더 보이|140
mv20190523004|돈키호테를 죽인 사나이|70
mv20190523005|로제타|0
mv20190523006|비질란테|0
mv20190523007|시민 노무현|340
mv20190523008|알라딘|26930
mv20190523009|언더 더 씨2|120
mv20190523010|해피타임 스파이|80
mv20190524001|기동전사 건담 내러티브|0
mv20190529001|0.0mhz|2000
mv20190529002|고질라: 킹 오브 몬스터|3260
mv20190529003|보희와 녹양|210
mv20190529004|우리 지금 만나|40
mv20190529005|파리의 딜릴리|210
mv20190530001|기생충 : 흑백판|36620
mv20190530002|소은이의 무릎|30
mv20190530003|아녜스가 말하는 바르다|50
mv20190530004|아이 아이 가사: 다시 만난 그날|20
mv20190530005|옹알스|80
mv20190530006|피터팬: 후크 선장과 결투의 날|50
mv20190601001|나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다|10
mv20190604001|죄와 벌|0
mv20190604002|플레이 오어 다이|0
mv20190605001|로켓맨|1000
mv20190605002|엑스맨: 다크 피닉스|4910
mv20190606001|글로리아 벨|70
mv20190606002|닥치고 피아노!|30
mv20190606003|빅샤크2 : 해저2만리|170
mv20190606004|폴라로이드|100
mv20190606005|하나레이 베이|30
mv20190610001|공포의 신생아실|10
mv20190610002|엘프: 사탄의 인형|10
mv20190612001|맨 인 블랙: 인터내셔널|3470
mv20190612002|파라노말 액티비티: 드림하우스|10
mv20190613001|극장판 오소마츠 6쌍둥이|140
mv20190613002|블랙 47|30
mv20190613003|세상을 바꾼 변호인|430
mv20190613004|업사이드|300
mv20190613005|엘리펀트킹 덤보|30
mv20190613006|천로역정: 천국을 찾아서|1010
mv20190613007|체 게바라: 1부 아르헨티나|40
mv20190613008|체 게바라: 2부 게릴라|20
mv20190613009|클로즈 에너미|0
mv20190613010|평일 오후 3시의 연인|50
mv20190614001|지구 최후의 날 2019|10
mv20190619001|롱 리브 더 킹: 목포 영웅|8770
mv20190620001|검은 여름|30
mv20190620002|북클럽|90
mv20190620003|비블리아 고서당 사건수첩|20
mv20190620004|사탄의 인형|600
mv20190620005|쓰리 세컨즈|290
mv20190620006|에움길|50
mv20190620007|완벽한 살인|30
mv20190620008|토이 스토리 4|7030
mv20190620009|퍼펙트 타겟|120
mv20190620010|하우스 오브 투모로우|30
mv20190620011|행복한 라짜로|220
mv20190626001|마담 싸이코|490
mv20190626002|비스트|2250
mv20190626003|애나벨 집으로|1810
mv20190626004|존 윅 3: 파라벨룸|5760
mv20190627001|쁘띠 아만다|40
mv20190627002|사범|20
mv20190627003|솔져스 메모리|10
mv20190627004|스트롱거|40
mv20190627005|트리트 미 라이크 파이어|30
mv20190628001|라이딩 업힐|0
mv20190701001|생사결|0
mv20190701002|컨저링 하우스|10
mv20190701003|쿵푸 파이터|0
mv20190702001|스파이더맨: 파 프롬 홈|13780
mv20190703001|귀신의 향기|220
mv20190704001|13년의 공백|50
mv20190704002|갤버스턴|130
mv20190704003|동명이인 프로젝트 시즌2|10
mv20190704004|머메이드: 죽음의 호수|0
mv20190704005|별의 정원|200
mv20190704006|칠드런 액트|230
mv20190704007|한낮의 피크닉|70
mv20190710001|기방도령|2330
mv20190710002|진범|1440
mv20190711001|극장판 엉덩이 탐정: 화려한 사건 수첩|1110
mv20190711002|난폭한 기록|260
mv20190711003|마리아 칼라스: 세기의 디바|100
mv20190711004|우리는 언제나 성에 살았다|60
mv20190711005|조|210
mv20190711006|죽음을 거스른 사나이|0
mv20190712001|벤트: 마약의 도시|20
mv20190717001|나이트메어 시네마|80
mv20190717002|라이온 킹|9240
mv20190717003|사일런스|570
mv20190718001|극장판 샤이닝스타:새로운 루나퀸의 탄생!|110
mv20190718002|꼬마 물고기 이자벨: 바다 대모험|30
mv20190718003|발광하는 현대사|90
mv20190718004|수영장으로 간 남자들|140
mv20190718005|이케아 옷장에서 시작된 특별난 여행|140
mv20190718006|인크레더블 손오공|60
mv20190723001|상간녀 살인사건|30
mv20190724001|나랏말싸미|14040
mv20190724002|롱 샷|1300
mv20190724003|명탐정 코난: 감청의 권|1650
mv20190725001|굿바이 썸머|130
mv20190725002|그녀들을 도와줘|30
mv20190725003|돈 워리|150
mv20190725004|레드슈즈|4110
mv20190725005|매니페스토|20
mv20190725006|무간도 외전|30
mv20190725007|주전장|1390
mv20190725008|지구 최후의 밤|140
mv20190725009|캘리포니아 타이프라이터|10
mv20190725010|쿵푸몬스터: 무림괴수전|20
mv20190725011|파리 에듀케이션|10
mv20190731001|데드 돈 다이|270
mv20190731002|마이펫의 이중생활 2|1920
mv20190731003|사자|13050
mv20190731004|엑시트|27840
mv20190801001|누구나 아는 비밀|200
mv20190801002|동경|10
mv20190801003|알랭 뒤카스: 위대한 여정|30
mv20190801004|워파이터|30
mv20190805001|도신 외전|10
mv20190807001|봉오동 전투|23890
mv20190807002|앵그리 버드 2: 독수리 왕국의 침공|300
mv20190807003|캐리tv 러브콘서트 더 무비|90
mv20190808001|김복동|1280
mv20190808002|나는 예수님이 싫다|40
mv20190808003|앨리스 죽이기|30
mv20190808004|호크니|120
mv20190813001|쥬|0
mv20190814001|더 바이 바이 맨|20
mv20190814002|분노의 질주: 홉스&쇼|8530
mv20190814003|안녕, 티라노: 영원히, 함께|400
mv20190814004|원더랜드|0
mv20190814005|인면어: 저주의 시작|50
mv20190814006|투모로우 2019: 지구 대 빙하기|0
mv20190815001|밤의 문이 열린다|80
mv20190815002|사랑의 선물|380
mv20190815003|수상한 교수|110
mv20190815004|암전|1100
mv20190815005|이타미 준의 바다|200
mv20190815006|지구 공룡 대탐험|100
mv20190816001|딥 스페이스: 외계접촉|0
mv20190819001|메시지 맨|0
mv20190821001|광대들: 풍문조작단|2080
mv20190821002|룩 어웨이|100
mv20190821003|변신|0
mv20190821004|블루스 인 인디아|20
mv20190822001|감염: 지구 최후의 날|0
mv20190822002|나만 없어 고양이|210
mv20190822003|당나귀 공주|20
mv20190822004|도심속의 방|10
mv20190822005|디터 람스|100
mv20190822006|라라와 움직이는 비밀의 숲|20
mv20190822007|로슈포르의 숙녀들|20
mv20190822008|롤라|0
mv20190822009|애프터|790
mv20190822010|우리집|650
mv20190822011|청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다|220
mv20190822012|커런트 워|830
mv20190826001|건달티처|130
mv20190828001|47미터 2|2170
mv20190828002|동키 킹|30
mv20190828003|블라인드 멜로디|420
mv20190828004|안나|0
mv20190828005|유열의 음악앨범|8870
mv20190828006|인비저블 위트니스|20
mv20190829001|벌새|2630
mv20190829002|불빛 아래서|30
mv20190829003|후로티로봇 극장판|20
mv20190901001|갈까부다|10
mv20190901002|고봉수 감독 단편선|10
mv20190904001|9월의 사랑과 만날때까지|0
mv20190904002|그것: 두 번째 이야기|3330
mv20190904003|극장판 헬로카봇 : 달나라를 구해줘!|920
mv20190904004|틴 스피릿|100
mv20190905001|갱스터 파라다이스|0
mv20190905002|동물, 원|50
mv20190905003|아빠는 딸|0
mv20190905004|안녕 베일리|790
mv20190905005|폭설|0
mv20190910001|침입자들|0
mv20190911001|극장판 반지의 비밀일기|110
mv20190911002|나쁜 녀석들: 더 무비|10160
mv20190911003|오토의 클래식 음악여행|0
mv20190911004|지구 침공의 날 2019|10
mv20190911005|타짜: 원 아이드 잭|11920
mv20190911006|플레이모빌: 더 무비|50
mv20190911007|힘을 내요, 미스터 리|5790
mv20190912001|100일동안 100가지로 100퍼센트 행복찾기|310
mv20190917001|파라노말 액티비티 2019|10
mv20190918001|예스터데이|1880
mv20190919001|디스트로이어|60
mv20190919002|발명왕 볼트|20
mv20190919003|뷰티풀 보이|150
mv20190919004|비뚤어진 집|100
mv20190919005|애드 아스트라|5460
mv20190919006|언더 더 실버레이크|40
mv20190925001|더 룸|820
mv20190925002|레플리카|0
mv20190925003|미드 90|180
mv20190925004|앳 퍼스트 라이트|10
mv20190925005|양자물리학|5620
mv20190925006|원스 어폰 어 타임... 인 할리우드|3110
mv20190925007|장사리: 잊혀진 영웅들|6470
mv20190926001|CIA 데빌헌터|0
mv20190926002|마왕의 딸 이리샤|180
mv20190926003|메기|670
mv20190926004|슈퍼 햄찌|30
mv20190926005|스페셜 솔져|10
mv20190926006|아워 바디|280
mv20190926007|애월|70
mv20190926008|와인스타인|20
mv20190926009|체인지 오버|50
mv20190926010|헬로우 평양|40
mv20191002001|가장 보통의 연애|7660
mv20191002002|소피와 드래곤: 마법책의 비밀|170
mv20191002003|조커|30030
mv20191002004|테러 라이브: 싸이코패스|0
mv20191002005|퍼펙트맨|4710
mv20191002006|홍금보의 라이프타임 트레저|0
mv20191003001|계절과 계절 사이|40
mv20191003002|나의 노래는 멀리멀리|130
mv20191003003|몬스터 하우스|20
mv20191003004|미드소마|2200
mv20191003005|오션스: 문어구출대작전|40
mv20191003006|트루 시크릿|80
mv20191004001|우주전쟁 2019|0
mv20191008001|적인걸 5: 측천무후 지유명도|20
mv20191009001|디어 마이 프렌드|60
mv20191009002|수상한 이웃|160
mv20191009003|잃어버린 세계를 찾아서|80
mv20191009004|제미니 맨|1370
mv20191009005|쿵푸 보이|10
mv20191009006|판소리 복서|1160
mv20191010001|여배우들의 티타임|20
mv20191010002|여수 밤바다|20
mv20191010003|열두 번째 용의자|300
mv20191010004|헤드헌터|0
mv20191011001|첫잔처럼|320
mv20191016001|너를 만난 여름|510
mv20191016002|버티고|310
mv20191016003|어벤져스 오브 저스티스|40
mv20191016004|콘택트: 지구 최후의 날|0
mv20191017001|고골: 악령과의 전쟁|20
mv20191017002|꼬마 자전거 스피디|20
mv20191017003|두번할까요|1280
mv20191017004|리메모리-기억추출|0
mv20191017005|말레피센트 2|4210
mv20191017006|북간도의 십자가|80
mv20191017007|신문기자|340
mv20191017008|오늘도 위위|160
mv20191017009|와일드 로즈|140
mv20191017010|재혼의 기술|140
mv20191017011|카르텔 2045|10
mv20191021001|당문|0
mv20191023001|82년생 김지영|47930
mv20191023002|람보: 라스트 워|1310
mv20191023003|빅트립: 아기팬더 배달 대모험|150
mv20191023004|체크 히어로|20
mv20191024001|경계선|290
mv20191024002|버스데이 원더랜드|20
mv20191024003|스노우 화이트|30
mv20191024004|시크릿 슈퍼스타|160
mv20191024005|워 이베이젼|20
mv20191024006|퍼펙트 스트레인저|30
mv20191030001|날씨의 아이|5170
mv20191030002|니나 내나|90
mv20191030003|빅 2: 황금열쇠 대소동|30
mv20191030004|빅 위시|50
mv20191030005|사선의 끝|90
mv20191030006|엔젤 오브 마인|100
mv20191030007|쿠엔틴 타란티노 8|40
mv20191030008|터미네이터: 다크 페이트|10700
mv20191030009|프렌드 존|80
mv20191030010|하이 라이프|60
mv20191031001|오늘, 우리|50
mv20191031002|우먼 인 할리우드|160
mv20191031003|웰컴 투 스웨덴|0
mv20191031004|텔 잇 투 더 비즈|30
mv20191101001|가족이 되기까지|0
mv20191101002|레드 사이렌|0
mv20191101003|아직 지나지 않은 여름|10
mv20191107001|닥터 슬립|960
mv20191107002|더 빌리지|20
mv20191107003|몬스터|0
mv20191107004|신의 한 수: 귀수편|8520
mv20191107005|열여섯의 봄|20
mv20191107006|왓 데이 해드|30
mv20191107007|졸업|10
mv20191107008|캔 유 킵 어 시크릿?|60
mv20191107009|타이페이 스토리|50
mv20191107010|패트와 매트: 우당탕탕 크리스마스|260
mv20191112001|드레드아웃|0
mv20191113001|블랙 머니|6360
mv20191113002|어쩌다 룸 메이트|110
mv20191113003|엔젤 해즈 폴른|1020
mv20191113004|좀비랜드: 더블 탭|920
mv20191114001|귀권|0
mv20191114002|늑대의 아이들|10
mv20191114003|대통령의 7시간|1430
mv20191114004|더 컨덕터|100
mv20191114005|마법안개의 비밀: 황금 보물선을 찾아라|10
mv20191114006|삽질|600
mv20191114007|심판|0
mv20191114008|영하의 바람|60
mv20191114009|울프 특공대|10
mv20191114010|윤희에게|2110
mv20191114011|카메라를 멈추면 안 돼! 스핀오프: 할리우드 대작전|20
mv20191114012|캡티브 스테이트|80
mv20191114013|헬로 몽키|10
mv20191115001|알카트라즈: 죽음의 수용소|0
mv20191121001|겨울왕국 2|23850
mv20191121002|시빌|50
mv20191121003|아빠는 예쁘다|60
mv20191121004|어제 일은 모두 괜찮아|240
mv20191121005|얼굴없는 보스|1070
mv20191121006|접전: 갑을 전쟁|130
mv20191121007|코끼리는 그곳에 있어|40
mv20191121008|크리미널: 해튼가든|20
mv20191121009|프란치스코 교황: 맨 오브 히스 워드|150
mv20191121010|헤로니모|240
mv20191122001|해킹 헌터: 마인드 컨트롤|10
mv20191127001|나를 찾아줘|2920
mv20191127002|러브 앳|640
mv20191127003|오피셜 시크릿|150
mv20191127004|카센타|570
mv20191127005|크롤|850
mv20191127006|허슬러|290
mv20191128001|녹차의 중력|10
mv20191128002|대가리2:학교무림|40
mv20191128003|분노는 말이 없다|40
mv20191128004|삼촌|200
mv20191128005|수퍼 디스코|40
mv20191128006|앵커|0
mv20191128007|어메이징 그레이스|0
mv20191128008|우리를 갈라놓는 것들|20
mv20191128009|집 이야기|190
mv20191128010|행동하는 양심 김대중|600
mv20191129001|싸움의 기술|10
mv20191203001|포레스트 헌터스 워|0
mv20191204001|감쪽같은 그녀|1660
mv20191204002|나이브스 아웃|3960
mv20191204003|너의 여자친구|170
mv20191204004|아직 사랑하고 있습니까?|110
mv20191205001|굿 라이어|250
mv20191205002|극장판 타오르지마 버스터-블랙어썰트의 귀환|70
mv20191205003|라스트 크리스마스|980
mv20191205004|어웨이크너: 히어로의 탄생|0
mv20191205005|파비안느에 관한 진실|170
mv20191206001|1944: 인간병기|0
mv20191209001|스튜핏 영 하트|0
mv20191211001|매리|60
mv20191211002|아내를 죽였다|1390
mv20191211003|쥬만지: 넥스트 레벨|1720
mv20191212001|1 더하기 3|30
mv20191212002|그날은 오리라|10
mv20191212003|더 보트|0
mv20191212004|더 하우스|90
mv20191212005|드래곤 빌리지|10
mv20191212006|디아스포라의 노래: 아리랑로드|10
mv20191212007|디에고|50
mv20191212008|라 파미에|10
mv20191212009|라멘 덕후|0
mv20191212010|라스트 씬|10
mv20191212011|사탄의 인형: 상속 받은 저주|10
mv20191212012|산타 앤 컴퍼니|20
mv20191212013|샐린저|10
mv20191212014|속물들|80
mv20191212015|아스테릭스: 마법 물약의 비밀|10
mv20191212016|영화로운 나날|40
mv20191212017|월성|90
mv20191212018|인투 더 애쉬|30
mv20191212019|카운트 다운|310
mv20191213001|깡패들|0
mv20191216001|로빈: 살인자의 유혹|0
mv20191217001|할머니의 고양이 그리고 522걸음의 여행|0
mv20191218001|시동|10100
mv20191219001|미안해요, 리키|440
mv20191219002|백두산|30290
mv20191219003|블루 마이 마인드|40
mv20191219004|신비아파트 극장판: 하늘도깨비 대 요르문간드|800
mv20191219005|호흡|0
mv20191223001|공포의 묘지: 망자의 저주|0
mv20191224001|눈의 여왕4|390
mv20191224002|캣츠|5480
mv20191224003|프린스 코기|310
mv20191225001|와일드 라이프|120
mv20191226001|고흐, 영원의 문에서|290
mv20191226002|백두번째 구름|10
mv20191226003|천문: 하늘에 묻는다|11950
mv20191231001|미드웨이|4840
