META_ID,META_TITLE,SUB_TITLE,ENGL_TITLE,SNSS_CTS,CINE21_CTSC_NM,CINE21_COMT_CTSC
MM1000128121,행맨,,Hangman,"살인 게임에 동참한 당신, 탈출구는 없다!
밤 11시, 어김없이 오늘도 살인 사건이 발생했다.
알파벳 문양의 칼자국이 새겨져 목을 맨 채 발견된 시체들.
의문의 연쇄살인마는 현장에 다음 희생양에 대한 힌트를 남기고, 마치 게임을 걸듯 두 명의 형사를 지목한다.
아내를 잃은 현직 형사 ‘루이니’, 자유로운 영혼을 가진 전직 형사 ‘아처’. 그리고, 이 사건을 끝까지 추적해야 하는 기자 ‘크리스티’
희생자가 늘어날수록 점점 채워져 가는 행맨 게임의 알파벳.
세 사람은 연쇄살인마가 주는 힌트를 따라 살인보다 빠르게 다음 희생양을 예상해야만 하는데...",이용철,게으름의 과잉이 낳은 결과
MM1000128246,미래의 미라이,,MIRAI,"우리 친해질 수 있을까?
4살 소년(!) ‘쿤’, 미래에서 온 여동생 ‘미라이’를 만나다!
엄마와 아빠, 그리고 사랑스러운 강아지 ‘윳코’, 
너무너무 좋아하는 기차 장난감들이 있는 나만을 위한 놀이방과 작은 정원.
세상 행복한 삶을 살고 있던 네 살 ‘쿤’에게, 첫 눈이 오던 날 동생 ‘미라이’가 찾아온다!
여동생과의 첫 만남, 신비로운 순간도 잠시…
부모님의 관심은 온통 ‘미라이’에게 향하고, ‘쿤’은 인생 최초 위기감(!)과 설움을 느끼게 된다.
그러던 어느 날 ‘쿤’에게 미래에서 온 소녀 ‘미라이’가 찾아오게 되는데!
‘쿤’의 작은 정원에서 아주 특별한 여행이 시작된다!",송형국|이주현|임수연,모든 ‘처음’을 응원하는 호소다 마모루의 ‘이것이 진짜 육아’|안과 밖의 중간계가 확장하는 인식의 건축면적|직선의 시선. 폐곡선의 깨달음
MM1000128263,레토,,Summer,"우리가 사랑한 모든 것
1981, 레닌그라드 
자신만의 음악을 하고 싶은 자유로운 뮤지션 ‘빅토르 최’
금기의 록음악을 열망하는 열정적인 록스타 ‘마이크’ 
그리고 그의 매력적인 뮤즈 ‘나타샤’
음악이 있어 빛나고, 사랑이 있어 아름답고, 젊음이 있어 찬란한 그들의 끝나지 않을 여름이 시작된다.",김소미|이주현|이화정|허남웅,"사랑과 청춘과 시대의 명암이 반짝반짝|억압만큼 거셌던, 지나간 시절의 음악과 사랑|이념이 발목 잡아도 청춘은 바통을 넘겨 쥐며 음악처럼 질주한다|현재의 청춘이 과거의 청춘을 향해 보내는 무한정 리스펙트. 애틋하고 귀엽다"
MM1000128477,쿠르스크,,Kursk,"23명의 마지막 기록 누구도 믿음을 놓지 않았다.
평범한 토요일 아침, 해군 대위 ‘미하일’(마티아스 쇼에나에츠)은 핵잠수함 쿠르스크에 승선한다.
출항 직후 예기치 못한 폭발로 잠수함이 침몰하고, 두 번째 폭발로 쿠르스크 선체에 큰 구멍이 뚫린다.
그 시각 남편의 소식을 들은 ‘미하일’의 아내 ‘타냐’(레아 세이두)는 그의 생사를 확인하려 하지만 아무 소식도 들을 수 없고 러시아 정부는 영국군 준장 ‘데이빗’(콜린 퍼스)의 구조 지원도 마다한 채 시간만 보내는데…
두 번의 폭발과 침몰한 잠수함, 118명 중 확인된 생존자는 단 23명, 그들은 끝까지 믿음을 잃지 않았다.",송형국|이다혜|이용철|허남웅,"가해자의 책임을 알지 못하는 희생에 대해|구조의 실패라는 재난|여기, 사람이 있다!|좋은 아빠들 위로 나쁜 아버지 하나"
MM1000129479,더 서치,,The Search,"전쟁으로 눈앞에서 부모님이 살해당하는 장면을 목격한 아홉 살 소년, ‘하지(압둘-칼림 마마츠예프).’
18개월이 된 동생을 감당할 수 없어 이웃집 문 앞에 버리고 마을에서 달아나 피난민 무리에 합류한다.
난민 대피소에서 ‘헬렌(아네트 베닝)’을 만나지만 죄책감과 상처 때문에 말을 하지 않던 하지는 동생을 찾기 위해 그곳을 도망쳐 나오고, 우연히 전쟁 피해자의 증언을 기록하는 EU 인권활동가 ‘캬홀(베레니스 베조)’을 만난다.
하지만 굳게 마음을 닫은 하지는 그 어떤 얘기도 꺼내지 않는데…
하지의 커다란 용기와 조그마한 목소리에 담긴 그날의 진실은 과연 기억될 수 있을까?",김송희|이용철,"전쟁은 인간을 어떻게 파괴하는가|힘겹게 되찾은 미소, 다시 잃어버리지 않도록"
MM1000129535,그대 이름은 장미,,ROSEBUD,"아줌마! 아니 아이돌? 전 국민을 눈물 나게 빵 터뜨릴 ‘홍장미’ 씨를 소개합니다!
딸에겐 잔소리 1등, 딸을 위해선 오지랖 1등, 대한민국 평범한 엄마 ‘홍장미’씨
우연한 사고로 과거의 남자 ‘명환’을 만나며 평온했던 일상이 꼬여만 가고, 설상가상으로 그녀의 대단했던(?) 과거까지 들통날 위기에 처한다.
여기에 20년 남사친 ‘순철’까지 끼어들어 강제과거소환을 막으려 애를 쓰기 시작하는데...
평범한 엄마 ‘홍장미’ 씨! 그녀의 믿을 수 없는 반전과거는 영원한 비밀이 될 수 있을까?!",김현수,"엄마의 <고고70>, 엄마의 <건축학개론>, 엄마의 <국가부도의 날>"
MM1000131454,jk닌자걸스,,JK Ninja Girls,"오사카 닌자들로부터 도쿄 타워를 지키려는 'JK 닌자 걸스'의 활약
일본 최고의 라이징스타 ‘코부시팩토리’의 첫 주연작!
도쿄타워를 지키기 위해 히든 히어로 큐티 뽀짝 ‘JK닌자걸즈’가 나선다!
오사카 아저씨 4인방 악당 ‘닌자 오야지스’로부터 도쿄타워를 사수해라!
특명을 받고 ‘닌자 오야지스’를 찾기 위해 나선 4명의 ‘JK닌자걸즈’
여고생과 히든 히어로, 은밀한 이중 생활을 감행하며 악당들을 찾아 나서지만, 점점 더 난항에 빠지게 되고...
우리의 ‘JK닌자걸즈’는 과연 도쿄타워를 지킬 수 있을까!",,
MM1000131455,극장판 공룡메카드: 타이니소어의 섬,,,"타이니소어로 가득한 환상의 섬에서 펼쳐지는 뜨거운 우정 이야기가 시작된다!
머나먼 옛날, 소행성 충돌로 인해 지구의 공룡들이 모두 사라지고
사람들에게 알려지지 않은 어느 작은 섬에서 공룡들은 아주 작은 모습의 타이니소어로 탄생한다. 
씩씩한 트리케라, 장난꾸러기 티라노, 잠꾸러기 스테고 등 타이니소어 친구들이 도토리 축구를 하며 즐거운 나날을 보내고 있던 중,
수상한 악당들이 나타나 평화로운 ‘타이니소어의 섬’을 위협하기 시작하는데… 
타이니소어들을 노리는 수상한 눈빛의 정체는? 
과연 이들은 위기에 처한 지상 낙원 ‘타이니소어의 섬’을 지켜낼 수 있을까?",,
MM1000131477,내안의 그놈,,Inside me,"안방극장 배꼽은 그놈이 접수한다!!
나 너니? 너 나니??
제대로 바뀐 아재와 고딩, 웃음 대환장 파티!
엘리트 아재 판수(박성웅)를 우연히 옥상에서 떨어진 고등학생 동현(진영)이 덮치면서 제대로 바뀐다.
게다가 판수는 동현의 몸으로 첫사랑 미선(라미란)과 존재도 몰랐던 딸 현정(이수민)을 만나게 되는데...
대유잼의 향연, 넌 이미 웃고 있다!",이용철|이주현,밑도 끝도 없는 보디체인지 영화는 왜 자꾸 나오는 걸까?|팔짱 끼고 보다 그놈에게 허를 찔렸다
MM1000131554,베스와 베라,,Incident in a Ghost Land,"네가 할 수 있는 건 없어
정체불명의 괴한으로부터 끔찍한 일을 겪은 어린 ‘베스’와 ‘베라’.
사고 이후, 언니 ‘베스’는 자전적 소설을 출간하며 성공하지만, 동생 ‘베라’는 여전히 그날의 공포에 사로잡힌 채 괴로워한다.
제발 자신을 버리지 말라고 절규하는 ‘베라’ 곁으로 다시 돌아온 ‘베스’.
하지만 끝내 끝나지 않고 되풀이되는 악몽 같은 현실과 엇갈린 진실은 두 자매를 점점 더 깊은 혼란에 빠뜨리는데...
이 끔찍한 공포로부터 도망칠 길은 없다!",이용철,로지에의 여성수난곡은 계속된다
MM1000131580,메이트,,Mate,"상처받기 싫은 남자의 예측불허 자유연애!
친구도, 애인도 아닌 준호와 은지의 달콤 씁쓸한 ‘현실 연애’!
나 연애 잘 못 해요. 적성에 안 맞아요. 
상처 받기 싫어 마음을 못 주는 남자 준호(심희섭).
돈도 펑펑 못 쓰는데, 마음이라도 펑펑 쓰면서 살아야지. 
가진 건 마음 하나뿐인 여자 은지(정혜성).
준호는 새로 일하게 된 잡지사에서 은지를 우연히 다시 만나게 된다.
준호는 은지에게 책임도, 의무도 없는 자유연애를 제안하지만, 따뜻하고 낙천적인 은지에게 점점 깊어지는 본인의 마음을 깨닫기 시작 하는데...",김성훈|이용철,20대에게 사랑이 사치인 이유|상대는 없고 본인만 있는 연애담
MM1000131615,주먹왕 랄프 2: 인터넷 속으로,,Ralph Breaks the Internet,"재미와 작품성 모두 역대급! 전세계 극장가를 뒤흔든 흥행왕의 귀환!
무한 재미로 가득한 인터넷을 하나의 거대한 세상으로 만난다!
오락실 게임 세상에 이어 이번엔 인터넷 세상이 발칵 뒤집힌다?!
각종 사고를 치며 게임 속 세상을 뒤집어 놨던 절친 주먹왕 랄프와 바넬로피는 버려질 위기에 처한 오락기 부품을 구하기 위해 와이파이를 타고 인터넷 세상에 접속한다.
얼떨결에 올린 동영상으로 순식간에 핵인싸에 등극한 랄프와 룰도 트랙도 없는 스릴만점 슬로터 레이스 게임에 참여하게 된 바넬로피.
지금껏 경험한 적 없는 엄청난 스케일과 새로운 재미에 흠뻑 빠진 랄프와 바넬로피는 랜섬웨어급 사고로 인터넷 세상을 혼란에 빠뜨리는데…
과연, 이들은 무사히 집에 돌아갈 수 있을까?",김현수,"집 떠나라, 5G 시대가 열릴 것이다"
MM1000132470,몬스터파크,,Here Comes the Grump,"사라질 위기에 놓인 놀이공원!
매직 롤러코스터에 탑승하자 기적 같은 일이 일어났다!
사람들의 발길이 끊기면서 폐쇄될 위기에 놓인 놀이공원.
할머니와의 추억을 되새기며 롤러코스터를 고치던 ‘테리’는 신비로운 마법의 왕국 ‘몬스터 파크’로 순간 이동을 하게 된다.
하지만 할머니가 들려주던 동화 속 세상과는 달리 이미 감정을 조종할 수 있는 마법사 ‘그럼프’의 우울마법에 빠져 모든 웃음과 행복을 빼앗긴 몬스터 파크.
‘테리’는 아름답지만 천방지축 말괄량이인 ‘새벽 공주’와 온통 우울함에 빠진 왕국을 구하기로 하는데...
과연 ‘테리’는 모두에게 웃음과 행복을 되찾아 주고 다시 자신의 세계로 돌아 갈 수 있을까?",,
MM1000132474,파이널리스트,,Imposed Piece,"최초로 공개되는 세계 3대 콩쿠르 ‘퀸 엘리자베스'의 모든 것!
그리고 '바이올린 부문’ 첫 한국인 우승자 탄생 스토리!
쇼팽 콩쿠르, 차이콥스키 콩쿠르에 이어 세계 3대 콩쿠르로 꼽히는 유서 깊은 '퀸 엘리자베스' 콩쿠르의 모든 것을 담은 첫 다큐멘터리!
세계 정상급 연주자들의 등용문으로 통칭되는 유서 깊은 콩쿠르의 권위와 스트라디바리우스의 '허긴스' 바이올린을 차지한 최초의 한국인 우승자가 탄생한 영화보다 더 영화 같은 순간이 최초로 공개된다.
치열한 경쟁 속에도 예술은 계속된다.
결승전을 위해 처음 공개되는 지정곡! 전례가 없는 새로운 음악을 연주하기 위해 끊임없이 고민하고 연습하는 젊은 바이올리니스트들의 예술을 향한 열정과 치열한 경쟁, 그리고 스크린에 펼쳐지는 우아한 멜로디!
상위 0.1% 그들도 우리와 같은 고민을 한다.
상위 0.1%의 바이올리니스트들, 그들의 청춘도 우리와 다르지 않다. 치열한 경쟁 속에서 미래를 고민하고, 현실을 받아들이기 위해 고민하는 평범하고도 특별한 청춘의 이야기!",김송희|이용철,인물간 균형에는 이견이 있으나 콩쿠르의 긴장감을 느끼기엔 충분|한계까지 가보는 연주자 세계를 잠깐 훔쳐보기
MM1000132673,툼 인베이더,,TOMB INVADER,"수백 년 봉인된 무덤을 둘러싼 사상 초유의 대결이 시작된다!
멸망한 왕조의 치명적인 비밀!
탐험 중 사망한 고고학자인 어머니의 뒤를 이어 고고학 박사가 된 앨리는 어느 날, 어머니의 탐험일지를 전해주러 온 묘연의 인물에게서 뜻밖의 제안을 받는다.
바로 어머니가 발굴하려다 사망한 진시황의 무덤 속 ‘용의 심장’을 함께 찾자는 것이었다.
베일에 싸인 이 유물을 발굴하려 앨리는 동료들과 함께 중국에 와서 이 일을 제안한 팀 파커와 옛 동료 네이슨을 만나지만,그들이 자신을 이용해 유물을 훔쳐 거금을 챙기려는 듯한 낌새를 채게 된다.
그럼에도 앨리는 어머니의 자취를 따라 그들과 위험한 동행을 하게 되지만, 멸망한 왕조의 후손들에게 무차별 공격을 당하고 치명적인 함정들에 부딪히기 시작하는데...
수백 년 봉인된 무덤을 둘러싼 사상 초유의 대결이 시작된다!",,
MM1000133246,데들리 스토커,,Capture,"대학생 사라는 위독한 할머니를 간병하고자 잠깐의 일정으로 홍콩으로 돌아온다.
그녀는 홍콩의 축제인 유령의 달 기간 동안 홍콩에 도착하는데, 이 때는 지옥의 문이 열리고 죽은 자의 악마가 돌아온다는 미신이 있는 기간이다.
그녀의 할머니는 원혼을 달래기 위한 미신에 집착하여 정신적, 육체적 건강이 악화되어 가고 있다.
사라는 옛 홍콩 고등학교 친구들과 만나 잠시나마 즐거운 시간을 보낸다.
하지만 곧 사라와 친구들 주변에서 알수 없는 위험한 일들이 일어나기 시작하고 할머니는 과거 사라를 스토킹하다 자살한 고등학교 동창의 원혼의 짓이라고 단정한다.",,
MM1000136415,말모이,,MAL·MO·E: The Secret Mission,"까막눈 판수, 우리말에 눈뜨다! vs 조선어학회 대표 정환, ‘우리’의 소중함에 눈뜨다!
1940년대 우리말이 점점 사라져가고 있는 경성.
극장에서 해고된 후 아들 학비 때문에 가방을 훔치다 실패한 판수.
하필 면접 보러 간 조선어학회 대표가 가방 주인 정환이다.
사전 만드는데 전과자에다 까막눈이라니!
그러나 판수를 반기는 회원들에 밀려 정환은 읽고 쓰기를 떼는 조건으로 그를 받아들인다.
돈도 아닌 말을 대체 왜 모으나 싶었던 판수는 난생처음 글을 읽으며 우리말의 소중함에 눈뜨고, 정환 또한 전국의 말을 모으는 ‘말모이’에 힘을 보태는 판수를 통해 ‘우리’의 소중함에 눈뜬다.
얼마 남지 않은 시간, 바짝 조여오는 일제의 감시를 피해 ‘말모이’를 끝내야 하는데...
우리말이 금지된 시대, 말과 마음이 모여 사전이 되다.",김송희|이용철|임수연|허남웅,대중영화 이야기꾼으로서 엄유나 감독이 가진 재능에 주목|말을 모으기 이전 배우의 케미가 ‘모이’지를 않는다|울리려고 마구 꼬집어서 울긴 울었다|의로운 사람들이 기억되도록
MM1000136879,해피니스 로드,,On Happiness Road,"기억하나요?
어릴 적 꿈과 그 꿈이 살던 동네, 그리고 당신은 그때 그 꿈처럼 살고 있나요?
어릴 적부터 동경하던 ‘미국’에서 일하며 외국인 남편을 만나 그곳에 정착하게 된 ‘린슈치’.
하지만 노란머리 남편과 미국생활은 생각했던 것만큼 행복하지 않다.
어린 시절 큰 힘이 되어 주었던 할머니가 돌아가셨다는 소식을 듣고 한걸음에 고향인 ‘해피니스 로드’로 돌아오게 된다.
마을 곳곳에 묻어 있는 가족들과의 행복했던 추억, 그리고 유년기를 함께 보낸 친구들과의 소중한 기억들을 회상하며 어린 시절 이곳에서 꿈꿔왔던 삶을 떠올리게 되는데....",이용철,행복을 찾다 길을 보게 되다
MM1000136887,얼굴들,,Possible Faces,"고등학교 행정실 직원 기선(박종환)은 어느 날 문득 축구부 학생 진수(윤종석)의 존재가 궁금해진다.
기선의 옛 애인 혜진(김새벽)은 회사를 그만두고 어머니의 작은 식당을 리모델링하기 위해 동분서주한다.
유일하게 자유로운 택배기사 현수(백수장)는 이들 사이를 스친다.
각자의 세계 안에서만 살고 있을 것 같은 인물들은 희미하게 겹친다.",김성훈|김소미|이용철|이주현,"스크린을 통해 어렴풋이, 세계의 틈새를 본다|영화가 끝나도 궁금한 삶들|올해 가장 주목해야 할 작품 중 하나|이야기 안과 밖의 긴밀한 연결성"
