META_ID,META_TITLE,SUB_TITLE,ENGL_TITLE,OPEN_DY,DMST_SPCT_CNT,SRIS_NM,BTV_OPEN_DT,META_MANUF_CTRY_CD,META_MANUF_CTRY_NM,GNR_ID,META_GNR_NM,WAT_LVL_CD,WAT_LVL_NM,MANUFCO_NM,DSTBTCO_NM,SSTRY_CIN_YN,KIDS_YN
MM1000343909,겨울왕국 2,,Frozen 2,20191121,,겨울왕국 2[3D],20200217090000,002,미국,MG0000000006|MG0000000008|MG0000000010|MG0000000013|MG0000000014|MG0000000018,판타지|애니메이션|코미디|어드벤처|가족|뮤지컬,0,전체 관람가,,월트 디즈니 컴퍼니 코리아 ,N,
MM1000328522,경계선,,Border,20191024,9335,경계선,20191119090000,017|036,스웨덴|덴마크,MG0000000003|MG0000000006|MG0000000011,스릴러|판타지|멜로/로맨스,19,19세 관람가,,(주)제이앤씨미디어그룹,N,
MM1000319387,계절과 계절 사이,,Between the Seasons,20191003,151,계절과 계절 사이,20191017090000,001,대한민국,MG0000000001|MG0000000011,드라마|멜로/로맨스,15,15세 관람가,한국영상대학교,(주)마노엔터테인먼트,N,
MM1000126856,고검기담: 소명신검의 부활,,Legend of the Ancient Sword,20190130,,고검기담: 소명신검의 부활,20190130090000,004,중국,MG0000000002|MG0000000006,액션|판타지,12,12세 관람가,,레이크엔터테인먼트,N,
MM1000320434,고골: 악령과의 전쟁,,Gogol.VIY,20191017,,고골: 악령과의 전쟁[캐치온],20200207000000,015,러시아,MG0000000003|MG0000000012,스릴러|미스터리,15,15세 관람가,,하드릴컴퍼니,N,
MM1000179222,고릴라와 슈퍼레이스,,Louis & Nolan: The big Cheese Race,20190403,640,고릴라와 슈퍼레이스,20190409090000,053,노르웨이,MG0000000148|MG0000000395,코미디|가족,0,전체 관람가,Aukruststiftelsen ,와이드 릴리즈(주),N,
MM1000354209,고봉수 감독 단편선,,,20190901,,고봉수 감독 단편선,20200326090000,001,대한민국,MG0000000001|MG0000000010,드라마|코미디,15,15세 관람가,,(주)씨엠닉스 ,N,
MM1000217297,고양이 여행 리포트,,The Travelling Cat Chronicles,20190509,1362,고양이 여행 리포트,20190524090000,003,일본,MG0000000001|MG0000000014,드라마|가족,0,전체 관람가,,아이 엠(eye m) ,N,
MM1000242299,고질라: 킹 오브 몬스터,,Godzilla: King of the Monsters,20190529,157836,고질라: 킹 오브 몬스터,20190626000000,002,미국,MG0000000002|MG0000000013|MG0000000015,액션|어드벤처|SF,12,12세 관람가,,워너 브러더스 코리아(주) ,N,
MM1000341945,"고흐, 영원의 문에서",,At eternity's gate,20191226,16691,"고흐, 영원의 문에서",20200115090000,002|007,미국|프랑스,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,,(주)팝엔터테인먼트,N,
MM1000205583,공포의 묘지,,Pet Sematary,20190410,,공포의 묘지(2019),20190508090000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),15,15세 관람가,,롯데엔터테인먼트 ,N,
MM1000251085,공포의 신생아실,,The Nursery,20190610,,공포의 신생아실,20190704090000,002,미국,MG0000000004|MG0000000012,공포(호러)|미스터리,15,15세 관람가,,주식회사 레드아이스,N,
MM1000304221,광대들: 풍문조작단,,Jesters: The Game Changers,20190821,578190,광대들: 풍문조작단,20190911090000,001,대한민국,MG0000000001|MG0000000016,드라마|사극,12,12세 관람가,(주)영화사심플렉스,워너브러더스 코리아(주),N,
MM1000356552,교회오빠,,A Job Who Is near Us,20190516,,교회오빠,20200402090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,KBS ,커넥트픽쳐스 ,N,
MM1000126752,구스 베이비,,Duck Duck Goose,20190116,60,구스 베이비,20190125000000,002,미국,MG0000000143|MG0000000148|MG0000000395,어드벤처|코미디|가족,0,전체 관람가,"GFM Animation, 완다미디어, Original Force",(주)이수C&E,N,
MM1000264507,국경의 왕,,The King of the Border,20190228,1887,국경의 왕,20190724090000,001,대한민국,MG0000000001|MG0000000013|MG0000000014,드라마|어드벤처|가족,15,15세 관람가,,"무브먼트 , 인디스페이스 ",N,
MM1000341962,굿 라이어,,The Good Liar,20191205,26382,굿 라이어,20200117090000,002,미국,MG0000000001|MG0000000003,드라마|스릴러,15,15세 관람가,,워너 브러더스 코리아(주) ,N,
MM1000216083,굿바이 마이 러브NK: 붉은 청춘,,"Goodbye My Love, North Korea",20190502,801,굿바이 마이 러브NK: 붉은 청춘 ,20190522090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,"822 Films , Akademie Der Kunste Der Welt ",(주)시네마달 ,N,
MM1000280365,굿바이 썸머,,Goodbye Summer,20190725,,굿바이 썸머,20190814090000,001,대한민국,MG0000000001|MG0000000011,드라마|멜로/로맨스,12,12세 관람가,"(주)이에스픽쳐스 , 인디스토리",인디스토리,N,
MM1000319509,그 옛날 집,,Like An Old House,20191024,,그 옛날 집,20191024090000,071,베트남,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,,,N,
MM1000315817,그것: 두 번째 이야기,,It Chapter Two,20190904,303,그것: 두 번째 이야기,20191002090000,002,미국,MG0000000001|MG0000000003,드라마|스릴러,15,15세 관람가,,워너 브러더스 코리아(주) ,N,
MM1000336086,그날은 오리라,,Our Time Will Come,20191212,,그날은 오리라,20191218090000,004|006,중국|홍콩,MG0000000001|MG0000000009,드라마|전쟁,15,15세 관람가,,(주)씨맥스이앤씨 ,N,
MM1000276138,그녀들을 도와줘,,Support the girls,20190725,,그녀들을 도와줘,20190806090000,002,미국,MG0000000001|MG0000000010,드라마|코미디,15,15세 관람가,,(주)영화사오원,N,
MM1000129535,그대 이름은 장미,,ROSEBUD,20190116,1184,그대 이름은 장미,20190131000000,001,대한민국,MG0000000001|MG0000000010,드라마|코미디,12,12세 관람가,(주)엠씨엠씨,(주)리틀빅픽쳐스,N,
MM1000168035,그때 그들,,LORO,20190307,293,그때 그들,20190325090000,022,이탈리아,MG0000000001|MG0000000010,드라마|코미디,19,19세 관람가,,영화사 진진 ,N,
MM1000159247,그린 북,,Green Book,20190109,223775,그린 북,20190314090000,002,미국,MG0000000001|MG0000000013|MG0000000014,드라마|어드벤처|가족,12,12세 관람가,,CGV아트하우스,N,
MM1000131455,극장판 공룡메카드: 타이니소어의 섬,,,20190110,142,극장판 공룡메카드: 타이니소어의 섬,20190131090000,001,대한민국,MG0000000141|MG0000000143|MG0000000144,SF|어드벤처|액션,0,전체 관람가,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),N,
MM1000314165,극장판 반지의 비밀일기,,,20190911,,극장판 반지의 비밀일기,20191001090000,001,대한민국,MG0000000001|MG0000000008,드라마|애니메이션,0,전체 관람가,"(주)애니맥스 브로드캐스팅 코리아 , (주)쏘울크리에이티브 ","(주)영화사 빅, (주)버킷스튜디오",N,
MM1000269542,극장판 샤이닝스타:새로운 루나퀸의 탄생!,,Shining Star: Lunar Queen,20190718,,극장판 샤이닝스타:새로운 루나퀸의 탄생!,20190730090000,001,대한민국,MG0000000146|MG0000000147|MG0000000150|MG0000000397,순정|드라마|학원물|아이돌,0,전체 관람가,(주)마로스튜디오,(주)리틀빅픽쳐스,N,
MM1000269407,극장판 엉덩이 탐정: 화려한 사건 수첩,,Butt Detective The Movie,20190711,,엉덩이 탐정: 화려한 사건 수첩,20190726090000,003,일본,MG0000000148|MG0000000155,코미디|추리/탐정,0,전체 관람가,토에이 애니메이션,(주)넥스트엔터테인먼트월드(NEW),N,
MM1000326319,극장판 오소마츠 6쌍둥이,,OSOMATSUSAN THE MOVIE,20190613,8898,극장판 오소마츠 6쌍둥이,20191114000000,003,일본,MG0000000147|MG0000000148|MG0000000395,드라마|코미디|가족,15,15세 관람가,스튜디오 피에로,(주)리틀빅픽쳐스,N,
MM1000333080,극장판 타오르지마 버스터-블랙어썰트의 귀환,,The Return of Dark Assault,20191205,1535,극장판 타오르지마 버스터 - 블랙어썰트의 귀환,20200210170000,001,대한민국,MG0000000141|MG0000000143|MG0000000144|MG0000000148|MG0000000398,SF|어드벤처|액션|코미디|히어로,0,전체 관람가,(주)시너지미디어,(주)이수C&E,N,
MM1000315712,극장판 헬로카봇 : 달나라를 구해줘!,,Hello Carbot the Movie: Save the Moon,20190904,2595,극장판 헬로카봇: 달나라를 구해줘!,20191001100000,001,대한민국,MG0000000141|MG0000000144|MG0000000398,SF|액션|히어로,0,전체 관람가,(주)초이락컨텐츠팩토리,롯데컬처웍스(주)롯데엔터테인먼트,N,
MM1000142802,극장판 헬로카봇: 옴파로스 섬의 비밀,,,20190131,51127,극장판 헬로카봇: 옴파로스 섬의 비밀,20190219090000,001,대한민국,MG0000000141|MG0000000144|MG0000000398,SF|액션|히어로,0,전체 관람가,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),N,
MM1000152655,극한직업,,Extreme Job,20190123,4808821,극한직업,20190313090000,001,대한민국,MG0000000001|MG0000000010,드라마|코미디,15,15세 관람가,"어바웃필름 , 영화사 해그림 , CJ 엔터테인먼트 ",CJ 엔터테인먼트 ,N,
MM1000182787,글래스,,Glass,20190117,466475,글래스,20190415090000,002,미국,MG0000000001|MG0000000003|MG0000000012|MG0000000015,드라마|스릴러|미스터리|SF,15,15세 관람가,,월트 디즈니 컴퍼니 코리아 ,N,
MM1000250334,글로리아 벨,,Gloria Bell,20190606,910,글로리아 벨,20190704090000,002|024,미국|칠레,MG0000000001|MG0000000011,드라마|멜로/로맨스,15,15세 관람가,,소니픽처스코리아 ,N,
MM1000218824,기동전사 건담 내러티브,,Mobile Suit Gundam Narrative,20190524,,기동전사 건담 내러티브,20190523090000,003,일본,MG0000000141|MG0000000144,SF|액션,12,12세 관람가,선라이즈,(주)디스테이션,N,
MM1000148217,기묘한 가족,,THE ODD FAMILY : ZOMBIE ON SALE,20190213,7120,기묘한 가족,20190227090000,001,대한민국,MG0000000001|MG0000000010|MG0000000014,드라마|코미디|가족,12,12세 관람가,씨네주 오스카10스튜디오 ,메가박스중앙(주)플러스엠 ,N,
MM1000266962,기방도령,,HOMME FATALE,20190710,247,기방도령,20190724090000,001,대한민국,MG0000000010|MG0000000016,코미디|사극,15,15세 관람가,"브레인샤워 , 제이와이피픽쳐스 ",판씨네마(주) ,N,
MM1000273546,기생충,,PARASITE,20190530,9576525,기생충,20190730090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,(주)바른손이앤에이,CJ 엔터테인먼트 ,N,
MM1000365722,기생충 : 흑백판,,PARASITE,20190530,,기생충 : 흑백판,20200514090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,(주)바른손이앤에이 ,CJ 엔터테인먼트 ,N,
MM1000259949,김군,,KIM-GUN,20190523,14962,김군,20190711090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,1011 필름,영화사 풀,N,
MM1000307023,김복동,,My Name Is KIM Bok-dong,20190808,78092,김복동,20190911090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,뉴스타파 ,(주)엣나인필름 ,N,
MM1000265729,꼬마 물고기 이자벨: 바다 대모험,,Izzie's Way Home,20190718,,꼬마 물고기 이자벨: 바다 대모험,20190723090000,002,미국,MG0000000143|MG0000000395|MG0000000667,어드벤처|가족|키즈드라마,0,전체 관람가,어사일럼,와이드 릴리즈(주),N,
MM1000320978,꼬마 자전거 스피디,,Bikes,20191017,,꼬마 자전거 스피디,20191022090000,019,스페인,MG0000000143|MG0000000144|MG0000000395,어드벤처|액션|가족,0,전체 관람가,,(주)박수엔터테인먼트,N,
MM1000158184,나는 다른 언어로 꿈을 꾼다,,I Dream in Another Language,20190307,,나는 다른 언어로 꿈을 꾼다,20190313090000,016|038,멕시코|네덜란드,MG0000000001|MG0000000012,드라마|미스터리,15,15세 관람가,"AgenciaSha , Alebrije Cine y Video ",아이 엠,N,
MM1000282504,나는 예수님이 싫다,,Jesus,20190808,806,나는 예수님이 싫다,20190816090000,003,일본,MG0000000001|MG0000000014,드라마|가족,0,전체 관람가,,"(주)싸이더스, (주)삼백상회",N,
MM1000282796,나랏말싸미,,The King's Letters,20190724,899996,나랏말싸미,20190814090000,001,대한민국,MG0000000001|MG0000000016,드라마|사극,0,전체 관람가,(주)영화사두둥,메가박스중앙(주)플러스엠 ,N,
MM1000335764,나를 찾아줘,나를 찾아줘(2019),Bring Me Home,20191127,356820,나를 찾아줘(2019),20191218090000,001,대한민국,MG0000000001|MG0000000003,드라마|스릴러,15,15세 관람가,(주)26컴퍼니,워너브러더스 코리아(주),N,
MM1000300094,나만 없어 고양이,,"Hello, My Cat",20190822,,나만 없어 고양이,20190902090000,001,대한민국,MG0000000001|MG0000000006|MG0000000014,드라마|판타지|가족,0,전체 관람가,라이터스,(주)트리플픽쳐스,N,
MM1000318591,나쁜 녀석들: 더 무비,,The Bad Guys: Reign of Chaos,20190911,4480994,나쁜 녀석들: 더 무비,20191016000000,001,대한민국,MG0000000002|MG0000000005,액션|범죄,15,15세 관람가,"CJ 엔터테인먼트 , 영화사비단길 ",씨제이이앤엠(주),N,
MM1000320775,나의 노래는 멀리멀리,,"Free My Soul, Free My Song",20191003,711,나의 노래는 멀리멀리,20191022090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,,영화사 풀,N,
MM1000199295,나의 작은 시인에게,,The Kindergarten Teacher,20190404,967,나의 작은 시인에게,20190429090000,002,미국,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,(주)엣나인필름,N,
MM1000220301,나의 특별한 형제,,Inseparable Bros,20190501,36343,나의 특별한 형제,20190524090000,001,대한민국,MG0000000001|MG0000000010,드라마|코미디,12,12세 관람가,"명필름 , 조이래빗 ",(주)NEW ,N,
MM1000225480,나의 히어로 아카데미아 더 무비: 두 명의 히어로,,MY HERO ACADEMIA: Two Heroes,20190516,,나의 히어로 아카데미아 더 무비 : 두 명의 히어로,20190530090000,003,일본,MG0000000141|MG0000000144|MG0000000150|MG0000000398,SF|액션|학원물|히어로,0,전체 관람가,본즈,(주)리틀빅픽쳐스,N,
MM1000346150,나이브스 아웃,,Knives Out,20191204,,나이브스 아웃,20200207090000,002,미국,MG0000000003|MG0000000012,스릴러|미스터리,12,12세 관람가,,(주)올스타엔터테인먼트 ,N,
MM1000265922,나이트메어 시네마,,Nightmare Cinema,20190717,,나이트메어 시네마,20190723090000,002,미국,MG0000000001|MG0000000004,드라마|공포(호러),19,19세 관람가,,(주)영화사 빅 ,N,
MM1000265943,난폭한 기록,,Fist & Furious,20190711,,난폭한 기록[캐치온],20200210000000,001,대한민국,MG0000000002|MG0000000005,액션|범죄,19,19세 관람가,"영화사 반딧불 , 서울액션스쿨 ",kth ,N,
MM1000369291,날씨의 아이,,Weathering With You,20191030,,날씨의 아이,20200527000000,003,일본,MG0000000142|MG0000000146|MG0000000147,판타지|순정|드라마,15,15세 관람가,코믹스 웨이브 필름,미디어캐슬,N,
MM1000163157,내가 사는 세상,,Back from the Beat,20190307,356,내가 사는 세상,20190320090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,"전태일 47주기 대구시민 노동문화제 , 독립영화전용관 오오극장 , 민예총 대구지회 ",㈜인디스토리,N,
MM1000131477,내안의 그놈,,Inside me,20190109,15171,내안의 그놈,20190201090000,001,대한민국,MG0000000006|MG0000000010,판타지|코미디,15,15세 관람가,"에코필름 , 전망좋은영화사 ","TCO(주)더콘텐츠온 , (주)메리크리스마스 ",N,
MM1000324783,너를 만난 여름,,My Best Summer,20191016,403,너를 만난 여름,20191105090000,004,중국,MG0000000001|MG0000000011,드라마|멜로/로맨스,12,12세 관람가,,"오드, (주)홈초이스",N,
MM1000221238,너의 목소리,,Your Voice -KIMIKOE-,20190523,,너의 목소리,20190528090000,003,일본,MG0000000147|MG0000000150,드라마|학원물,0,전체 관람가,매드하우스,(주)영화사 진진,N,
MM1000333615,너의 여자친구,,My Bossy Girl,20191204,786,너의 여자친구,20191210090000,001,대한민국,MG0000000001|MG0000000010|MG0000000011,드라마|코미디|멜로/로맨스,12,12세 관람가,"(주)제이아트필름 , (주)애스토리엔터테인먼트 ","(주)스톰픽쳐스코리아, 와이드 릴리즈(주)",N,
MM1000199742,노무현과 바보들,,,20190418,,노무현과 바보들,20190430090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,(주)바보들 ,"오키넷 , (주)라이크콘텐츠 ",N,
MM1000350156,녹차의 중력,,Gravity of the Tea,20191128,,녹차의 중력,20200227090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,영화사 키노(주) ,키노미디어 ,N,
MM1000220391,논-픽션,,Doubles Vies,20190516,345,논-픽션,20190528090000,007,프랑스,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,(주)트리플픽쳐스,N,
MM1000297689,누구나 아는 비밀,,Everybody Knows,20190801,2682,누구나 아는 비밀,20190902090000,007|019|022,프랑스|스페인|이탈리아,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,"오드, (주)티캐스트",N,
MM1000340424,눈의 여왕4,,The Snow Queen: Mirrorlands,20191224,,눈의 여왕4,20200110090000,015,러시아,MG0000000142|MG0000000143|MG0000000395,판타지|어드벤처|가족,0,전체 관람가,위저트 애니메이션,(주)넥스트엔터테인먼트월드(NEW),N,
MM1000328551,늑대의 아이들,,Werewolf,20191114,,늑대의 아이들,20191119090000,013|037|038,독일|폴란드|네덜란드,MG0000000001|MG0000000004|MG0000000012,드라마|공포(호러)|미스터리,15,15세 관람가,,노바엔터테인먼트 ,N,
MM1000327709,니나 내나,,Family Affair,20191030,1273,니나 내나,20191119090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,"(주)명필름, 로랜드스튜디오",(주)리틀빅픽쳐스,N,
MM1000198200,"다시, 봄",,"Spring, Again",20190417,,"다시, 봄(2019)",20190429090000,001,대한민국,MG0000000001|MG0000000006,드라마|판타지,12,12세 관람가,(주)26컴퍼니,(주)스마일이엔티,N,
MM1000239636,닥치고 피아노!,,Shut Up and Play the Piano,20190606,688,닥치고 피아노!,20190619090000,008|013,영국|독일,MG0000000001|MG0000000017,드라마|다큐멘터리,15,15세 관람가,,(주)엣나인필름,N,
MM1000332023,닥터 슬립,,Doctor Sleep,20191107,565,닥터 슬립,20191205090000,002,미국,MG0000000001|MG0000000003,드라마|스릴러,15,15세 관람가,,워너브러더스 코리아(주),N,
MM1000144963,닥터 킬러 패밀리,,No Visitors,20190214,,닥터 킬러 패밀리,20190221090000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),19,19세 관람가,,,N,
MM1000313618,당나귀 공주,,Donkey Skin,20190822,,당나귀 공주,20191011090000,007,프랑스,MG0000000001|MG0000000006|MG0000000014|MG0000000018,드라마|판타지|가족|뮤지컬,0,전체 관람가,,에스와이코마드 ,N,
MM1000339232,대통령의 7시간,,President's 7 Hours,20191114,24654,대통령의 7시간,20191231090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,(주)씨네포트,"(주)씨네포트, 주식회사 마운틴픽쳐스",N,
MM1000180060,더 길티,,The Guilty,20190327,22091,더 길티(2019),20190409090000,036,덴마크,MG0000000001|MG0000000003,드라마|스릴러,12,12세 관람가,,(주)팝엔터테인먼트 ,N,
MM1000319282,더 룸,,The Room,20190925,48775,더 룸,20191014090000,007|040|059,프랑스|벨기에|룩셈부르크,MG0000000003|MG0000000012,스릴러|미스터리,15,15세 관람가,,"(주)퍼스트런, (주)팬엔터테인먼트",N,
MM1000282513,더 바이 바이 맨,,THE BYE BYE MAN,20190814,,더 바이 바이 맨,20190814090000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),15,15세 관람가,,㈜코리아스크린,N,
MM1000241531,더 보이,,Brightburn,20190523,88081,더 보이(2019),20190620090000,002,미국,MG0000000004|MG0000000015,공포(호러)|SF,15,15세 관람가,,소니픽처스코리아 ,N,
MM1000334683,더 보트,,THE BOAT,20191212,,더 보트,20191212090000,008|064,영국|몰타,MG0000000003|MG0000000012,스릴러|미스터리,15,15세 관람가,,주식회사 풍경소리,N,
MM1000287839,더 비스트,,The Beast,20190805,,더 비스트(2016),20190822090000,002,미국,MG0000000003|MG0000000005,스릴러|범죄,19,19세 관람가,,,N,
MM1000328476,더 빌리지,,Dachra,20191107,292,더 빌리지,20191119090000,112,튀니지,MG0000000001|MG0000000004,드라마|공포(호러),15,15세 관람가,,(주)디오시네마,N,
MM1000129479,더 서치,,The Search,20190117,,더 서치,20190129090000,007,프랑스,MG0000000001|MG0000000009,드라마|전쟁,15,15세 관람가,,(주)영화사오원,N,
MM1000167934,더 와이프,,The Wife,20190227,7728,더 와이프,20190325090000,008|017,영국|스웨덴,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,(주)팝엔터테인먼트,N,
MM1000198165,더 캡틴,,The Captain,20190425,,더 캡틴,20190429090000,009|013,캐나다|독일,MG0000000001|MG0000000009,드라마|전쟁,15,15세 관람가,,(주)드림팩트엔터테인먼트,N,
MM1000330252,더 컨덕터,,The Conductor,20191114,203,더 컨덕터,20191127090000,038,네덜란드,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,(주)라이크 콘텐츠,N,
